ID,EST,FIN,PoS,score
3360,mootor,mäntä,nouns,1.7
3361,kaamera,linssi,nouns,1.5
3362,mõtlema,yrittää,verbs,0.6
3363,süüdi,häpeissään oleva,adjectives,1.45
3364,kana,kalkkuna,nouns,1.75
3365,kindlalt,joskus,adverbs,0.25
3366,intelligentsus,tietämättömyys,nouns,0.5
3367,võimlemine,miekkailu,nouns,1.65
3368,lämbuma,hengittää,verbs,0.6
3369,noomima,vaatia,verbs,0.45
3370,vihane,onnellinen,adjectives,0.35
3371,raha,käteinen,nouns,3.85
3372,kass,hiiri,nouns,1.05
3373,koostööd tegema,ottaa osaa,verbs,2.75
3374,pärast,ennen,adverbs,0.5
3375,hellitama,pitää,verbs,2.35
3376,tööline,toimisto,nouns,0.7
3377,lahingulaev,sotalaiva,nouns,5.05
3378,lõuna,pohjoinen,nouns,1.2
3379,lämmatama,halata,verbs,0.6
3380,pikk,lyhyt,adjectives,0.45
3381,kutt,tyttö,nouns,1.0
3382,puhastustuli,tuonpuoleinen,nouns,1.55
3383,naljakas,surullinen,adjectives,0.55
3384,vaidlema,osallistua,verbs,0.25
3385,keskkond,miekka,nouns,0.0
3386,otsing,maali,nouns,0.85
